,name,diff_num,hunk_num,func_num,line_num_total,line_num_net,line_num_del,line_num_add,char_num_total,char_num_net,char_num_del,char_num_add,mem_num_total,mem_num_net,mem_num_del,mem_num_add,if_num_total,if_num_net,if_num_del,if_num_add,jump_num_total,jump_num_net,jump_num_del,jump_num_add,loop_num_total,loop_num_net,loop_num_del,loop_num_add,ari_num_total,ari_num_net,ari_num_del,ari_num_add,rel_num_total,rel_num_net,rel_num_del,rel_num_add,log_num_total,log_num_net,log_num_del,log_num_add,bit_num_total,bit_num_net,bit_num_del,bit_num_add,call_num_total,call_num_net,call_num_del,call_num_add,var_num_total,var_num_net,var_num_del,var_num_add,global_sim,global_norm_sim,dir_num_total,dir_num_net,dir_num_del,dir_num_add,cap_num,race_num,not_zero,preprocess
32,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2009-2768-3440625d78711bee41a84cf29c3d8c579b522666.txt,1,2,1,13,3,5,8,214,62,76,138,0,0,0,0,2,0,1,1,1,1,0,1,0,0,0,0,4,2,1,3,0,0,0,0,2,2,0,2,0,0,0,0,4,2,2,4,7,4,3,6,98,21,0,0,0,0,0,0,1,0
33,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2009-3280-fcc6cb0c13555e78c2d47257b6d1b5e59b0c419a.txt,1,1,1,2,0,1,1,77,-3,40,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5,0,5,4,4,0,0,0,0,0,0,0,0,0
34,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2009-4004-a9e38c3e01ad242fe2a625354cf065c34b01e3aa.txt,1,1,0,2,0,1,1,55,29,13,42,0,0,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,1,2,0,0,0,0,0,0,0,0,2,1,1,2,29,8,0,0,0,0,0,0,0,0
35,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2009-4005-286e633ef0ff5bb63c07b4516665da8004966fec.txt,1,1,1,4,0,2,2,136,-4,70,66,0,0,0,0,10,0,5,5,0,0,0,0,0,0,0,0,14,0,7,7,14,0,7,7,4,0,2,2,0,0,0,0,0,0,0,0,6,0,6,6,23,17,0,0,0,0,0,0,0,0
36,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2010-1084-101545f6fef4a0a3ea8daf0b5b880df2c6a92a69.txt,4,15,0,34,26,4,30,571,281,145,426,0,0,0,0,5,5,0,5,5,5,0,5,0,0,0,0,78,16,31,47,5,5,0,5,0,0,0,0,0,0,0,0,2,1,1,1,12,4,8,12,283,123,0,0,0,0,0,0,0,0
37,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2010-1444-08813ee6f8eb0faf83790bd4247c0a97af75a1cf.txt,1,2,1,6,0,3,3,232,-4,118,114,2,0,1,1,2,0,1,1,1,-1,1,0,0,0,0,0,14,0,7,7,8,0,4,4,1,-1,1,0,0,0,0,0,2,0,2,2,7,0,7,6,30,12,0,0,0,0,0,0,-1,0
38,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2010-1642-9280051bfba337458722fb157f3082f93cbd9f2b.txt,1,1,1,2,0,1,1,65,-1,33,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,5,10,0,0,0,0,0,0,0,0,0
39,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2010-1797-11d65e8a1f1f14e56148fd991965424d9bd1cdbc.txt,1,1,0,4,2,1,3,95,59,18,77,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,6,2,2,4,4,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,6,59,16,0,0,0,0,0,0,0,0
40,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2010-2492-a6f80fb7b5986fda663d94079d3bba0937a6b6ff.txt,1,6,2,15,1,7,8,513,1,256,257,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,3,12,0,6,6,4,0,2,2,4,0,2,2,4,2,1,3,1,0,1,1,8,2,6,7,50,20,0,0,0,0,0,0,0,0
41,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2010-2499-c69891a1345640096fbf396e8dd567fe879ce233.txt,1,1,0,2,2,0,2,19,19,0,19,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,2,0,2,19,6,0,0,0,0,0,0,0,0
42,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2010-2499-f29f741efbba0a5ce2f16464f648fb8d026ed4c8.txt,1,4,0,8,8,0,8,138,138,0,138,0,0,0,0,4,4,0,4,4,4,0,4,0,0,0,0,8,8,0,8,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,7,138,48,0,0,0,0,0,0,0,0
43,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2010-2519-5ef20c8c1d4de12a84b50ba497c2a358c90ec44b.txt,1,1,0,7,5,1,6,135,119,8,127,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,12,8,2,10,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,13,11,2,13,119,62,0,0,0,0,0,0,0,0
44,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2010-2519-b2ea64bcc6c385a8e8318f9c759450a07df58b6d.txt,1,1,0,2,2,0,2,26,26,0,26,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,3,3,0,3,26,18,0,0,0,0,0,0,0,0
45,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2010-2520-888cd1843e935fe675cf2ac303116d4ed5b9d54b.txt,1,1,0,4,0,2,2,125,9,58,67,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,3,1,1,2,1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,5,1,4,5,23,6,0,0,0,0,0,0,0,0
46,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2010-2521-2bc3c1179c781b359d4f2f3439cb3df72afc17fc.txt,1,4,2,8,0,4,4,256,24,116,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4,14,18,16,4,6,10,0,0,0,0,8,0,4,4,0,0,0,0,6,0,6,6,24,16,0,0,0,0,0,0,0,0
47,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2010-2527-b995299b73ba4cd259f221f500d4e63095508bec.txt,5,17,0,35,1,17,18,1786,88,849,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,35,35,6,0,3,3,12,0,6,6,0,0,0,0,5,1,4,4,30,3,27,28,91,0,0,0,0,0,0,0,0,0
48,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2010-2542-3c9d0414ed2db0167e6c828b547be8fc9f88fccc.txt,1,1,1,2,2,0,2,71,71,0,71,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,4,4,0,4,1,1,0,1,0,0,0,0,0,0,0,0,2,2,0,2,8,8,0,8,71,40,0,0,0,0,0,0,0,0
49,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2010-2642-d4139205b010ed06310d14284e63114e88ec6de2.txt,5,6,5,20,14,3,17,423,285,69,354,0,0,0,0,19,7,6,13,3,3,0,3,1,1,0,1,9,7,1,8,21,9,6,15,17,9,4,13,0,0,0,0,4,4,0,4,28,19,9,28,286,153,0,0,0,0,0,0,0,0
50,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2010-2808-81f3472c0ba7b8f6466e2e214fa8c1c17fade975.txt,1,1,0,3,3,0,3,85,85,0,85,0,0,0,0,2,2,0,2,1,1,0,1,0,0,0,0,2,2,0,2,2,2,0,2,3,3,0,3,0,0,0,0,0,0,0,0,6,6,0,6,85,20,0,0,0,0,0,0,0,0
51,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2010-3081-c41d68a513c71e35a14f66d71782d27a79a81ea6.txt,10,10,5,28,12,8,20,1209,367,421,788,0,0,0,0,2,2,0,2,3,3,0,3,0,0,0,0,18,4,7,11,1,1,0,1,1,1,0,1,2,2,0,2,5,4,1,5,10,7,3,10,367,88,0,0,0,0,0,0,1,0
52,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2010-3084-ee9c5cfad29c8a13199962614b9b16f1c4137ac9.txt,1,5,0,13,-1,7,6,233,-107,170,63,0,0,0,0,2,0,1,1,3,1,1,2,0,0,0,0,13,-5,9,4,8,-4,6,2,3,-3,3,0,0,0,0,0,2,0,2,0,17,2,15,6,134,65,0,0,0,0,0,0,-5,0
53,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2010-3814-0edf0986f3be570f5bf90ff245a85c1675f5c9a4.txt,1,2,0,8,8,0,8,109,109,0,109,0,0,0,0,2,2,0,2,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,7,7,0,7,109,28,0,0,0,0,0,0,0,0
54,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2010-3848-a27e13d370415add3487949c60810e36069a23a6.txt,1,13,0,47,5,21,26,871,-27,449,422,7,7,0,7,6,2,2,4,8,2,3,5,1,-1,1,0,38,-8,23,15,17,-1,9,8,8,4,2,6,6,-2,4,2,5,3,2,4,32,7,25,24,326,72,0,0,0,0,0,-8,-1,1
55,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2010-3855-59eb9f8cfe7d1df379a2318316d1f04f80fba54a.txt,1,3,0,6,0,3,3,122,26,48,74,0,0,0,0,6,2,2,4,0,0,0,0,0,0,0,0,4,2,1,3,6,2,2,4,6,2,2,4,0,0,0,0,0,0,0,0,7,2,5,7,26,20,0,0,0,0,0,0,0,0
56,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2010-3874-0597d1b99fcfc2c0eada09a698f85ed413d4ba84.txt,1,1,0,2,0,1,1,33,1,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,2,0,0,0,0,0,0,0,0,0
57,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2010-4344-24c929a27415c7cfc7126c47e4cad39acf3efa6b.txt,1,2,1,7,7,0,7,86,86,0,86,0,0,0,0,3,3,0,3,1,1,0,1,0,0,0,0,3,3,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,86,38,0,0,0,0,0,0,0,0
58,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2010-4527-d81a12bc29ae4038770e05dce4ab7f26fd5880fb.txt,1,2,1,4,0,2,2,150,8,71,79,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,4,2,2,2,6,1,5,6,8,4,0,0,0,0,0,0,0,0
59,.//security_patch/realData\CWE_119_Improper_Restriction_of_Operations_within_the_Bounds_of_a_Memory_Buffer\CVE-2010-4650-7572777eef78ebdee1ecb7c258c0ef94d35bad16.txt,1,2,0,17,17,0,17,317,317,0,317,0,0,0,0,6,6,0,6,4,4,0,4,1,1,0,1,11,11,0,11,4,4,0,4,1,1,0,1,1,1,0,1,1,1,0,1,18,18,0,18,317,104,0,0,0,0,0,0,0,0
